precinct,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dec
1,32,34,48,55,48,60,44,44,30,39,26,44
5,47,68,53,35,51,37,57,58,53,60,35,55
6,22,20,17,34,22,16,25,24,27,27,42,30
7,122,116,111,84,103,107,121,102,93,115,125,113
9,130,109,103,117,133,91,96,109,97,114,126,113
10,70,78,73,82,76,64,75,57,71,66,48,78
13,72,64,51,56,66,71,61,59,51,59,56,71
14,29,28,38,35,36,54,39,38,43,41,44,45
17,42,36,35,34,38,40,25,28,28,47,42,35
18,67,51,53,51,53,68,59,61,48,38,45,58
19,103,90,88,97,113,77,81,78,76,83,82,94
20,65,55,43,58,53,49,51,39,62,49,62,56
22,0,0,1,0,0,2,4,1,1,3,0,1
23,278,253,258,288,273,310,323,307,271,245,252,295
24,141,110,134,127,138,139,118,112,125,121,136,135
25,184,164,174,220,207,186,230,195,176,192,171,176
26,105,90,80,86,102,82,102,76,80,78,67,99
28,141,106,147,107,124,142,144,120,138,129,140,133
30,122,115,117,110,130,114,122,113,96,111,113,138
32,333,290,312,327,272,323,309,311,276,269,276,351
33,124,101,144,135,116,124,132,136,122,135,112,109
34,139,133,131,149,185,174,163,165,169,172,136,158
40,530,446,509,507,453,498,551,539,521,544,522,529
41,309,237,281,251,296,287,297,275,265,275,236,291
42,528,411,492,460,486,500,545,485,476,524,486,557
43,630,508,618,558,608,622,662,599,651,597,559,641
44,558,463,472,518,514,565,507,522,478,435,482,513
45,225,195,227,216,210,225,258,230,219,240,237,252
46,625,499,585,542,601,602,609,579,600,565,608,610
47,634,504,569,547,639,549,626,580,555,537,591,608
48,493,446,431,469,466,451,452,416,385,390,435,459
49,327,292,276,280,284,293,292,285,289,279,283,276
50,170,135,158,157,162,141,156,136,150,138,132,184
52,507,464,492,465,482,481,497,432,461,457,474,487
60,231,204,208,245,211,241,230,218,211,259,233,240
61,175,119,160,169,172,169,158,170,187,187,139,160
62,124,122,144,140,141,128,155,150,164,163,148,154
63,149,148,173,158,177,139,155,157,167,171,170,174
66,113,82,94,88,109,66,98,93,90,99,105,97
67,411,335,345,387,376,435,410,416,380,416,380,424
68,127,128,85,113,114,101,140,90,124,105,130,115
69,232,218,208,212,202,246,242,246,230,242,253,243
70,266,236,238,242,305,256,275,282,250,268,251,236
71,207,174,181,192,234,194,226,211,197,183,199,182
72,133,120,103,116,139,130,147,129,152,144,131,120
73,596,502,565,541,548,583,601,621,512,550,527,576
75,744,651,631,687,756,752,850,744,696,725,663,713
76,89,66,80,70,90,83,85,68,63,88,74,94
77,245,200,253,261,252,241,240,241,264,249,265,325
78,61,46,59,52,46,40,53,60,68,56,45,49
79,313,269,243,246,300,264,237,282,262,250,278,302
81,237,208,245,276,264,283,235,229,242,217,195,231
83,238,218,206,256,223,204,280,229,240,240,212,221
84,81,64,64,69,61,83,68,73,71,60,59,40
88,141,126,103,101,113,114,117,128,132,124,98,104
90,185,150,172,170,187,155,179,197,163,153,162,187
94,57,37,53,48,60,43,56,66,65,62,61,44
100,117,99,117,114,105,139,138,126,105,109,102,116
101,297,263,242,224,280,292,323,291,258,272,255,259
102,261,199,211,222,237,235,261,225,208,256,194,249
103,296,253,308,292,337,367,337,337,330,311,304,331
104,181,150,168,176,177,206,215,241,210,197,188,242
105,320,269,323,306,336,366,339,334,336,352,304,317
106,252,188,203,200,214,234,238,235,255,267,235,245
107,151,130,141,135,152,180,186,178,150,149,161,201
108,106,126,116,101,131,110,133,128,128,101,144,117
109,226,193,175,202,236,204,228,237,195,224,209,218
110,200,176,180,187,224,184,170,207,205,208,187,187
111,66,59,45,56,67,75,82,47,63,70,65,47
112,96,69,66,84,73,71,96,63,82,59,67,89
113,323,316,268,293,353,380,387,360,310,315,308,332
114,341,257,289,320,282,319,313,278,316,277,272,315
115,240,191,195,256,226,214,233,237,240,243,226,248
120,384,334,345,392,403,414,411,396,366,449,346,400
121,280,233,219,215,264,265,302,265,260,242,254,231
122,165,154,145,165,187,198,191,189,180,200,170,175
123,79,50,75,81,72,81,82,62,78,102,72,76
Total,17440,14843,15765,16117,16976,17028,17735,16847,16388,16588,16022,17220
